url,street_address,price,housing,map_address
https://sfbay.craigslist.org/scz/apa/d/watsonville-completely-remodeled-house/7795627017.html,214 E Riverside Dr. near Lincoln St.,"$1,055",/ 1br - 600ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-pleasure-point-home-block-to/7794344101.html,36th Avenue,"$5,900",/ 2br - 1502ft2 -,"https://www.google.com/maps/search/36.959198,-121.969357"
https://sfbay.craigslist.org/scz/apa/d/felton-bed-bath-ben-lomond-beauty/7795606491.html,9425 Glen Arbor Road,"$3,650",/ 3br - 1180ft2 -,"https://www.google.com/maps/search/37.085763,-122.083470"
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-402-alta-vista-drive-2br-2ba/7792587753.html,N/A,"$4,650",/ 2br - 1260ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/watsonville-charming-bedroom-home/7795572837.html,Grant Street near Union Street,"$3,250",/ 3br - 890ft2 -,"https://www.google.com/maps/search/36.909556,-121.753900"
https://sfbay.craigslist.org/scz/apa/d/la-selva-beach-4br-3ba-ocean-view-min/7788040281.html,SEA HORSE DR near SAND DOLLAR DR,"$5,795",/ 4br - 1900ft2 -,"https://www.google.com/maps/search/36.921755,-121.853517"
https://sfbay.craigslist.org/scz/apa/d/freedom-la-selva-beach-4br-3ba-ocean/7795457010.html,sea horse dr near sand dollar dr,"$5,795",/ 4br - 1900ft2 -,"https://www.google.com/maps/search/36.921798,-121.853271"
https://sfbay.craigslist.org/scz/apa/d/aptos-clean-rio-del-mar-split-level-bd/7792554430.html,527 Monterey Dr. near Santa Margarita,"$4,100",/ 2br - 1125ft2 -,"https://www.google.com/maps/search/36.969181,-121.883371"
https://sfbay.craigslist.org/scz/apa/d/watsonville-bedroom-bathroom-house-in/7795435091.html,Peartree Ave. near Delta Way,"$2,600",/ 2br - 1005ft2 -,"https://www.google.com/maps/search/36.917352,-121.739460"
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-spacious-bedroom-bathroom/7795396414.html,415 15th Ave,"$1,800",/ 1br - 638ft2 -,"https://www.google.com/maps/search/36.963012,-121.991149"
https://sfbay.craigslist.org/scz/apa/d/scotts-valley-3b-2ba-central-scotts/7795377450.html,N/A,"$4,200",/ 3br -,N/A
https://sfbay.craigslist.org/scz/apa/d/scotts-valley-3b-2ba-central-scotts/7795376183.html,N/A,"$4,200",/ 3br -,N/A
https://sfbay.craigslist.org/scz/apa/d/aptos-clean-light-and-bright-bed-den/7793430577.html,N/A,"$3,950",/ 3br - 1400ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/mount-hermon-sunny-bedroom-lg-yard/7795351421.html,Washington Way near San Lorenzo avenue,"$2,600",/ 1br - 800ft2 -,"https://www.google.com/maps/search/37.041794,-122.073993"
https://sfbay.craigslist.org/scz/apa/d/felton-peaceful-dwelling/7795328011.html,N/A,"$1,600",N/A,N/A
https://sfbay.craigslist.org/scz/apa/d/watsonville-bed-bath/7795313565.html,Laken Dr. near Holohan,"$3,700",/ 2br - 1865ft2 -,"https://www.google.com/maps/search/36.936275,-121.744888"
https://sfbay.craigslist.org/scz/apa/d/south-lake-tahoe-home-in-the-tahoe-key/7795295778.html,542 Alpine Dr,"$4,000",/ 3br -,"https://www.google.com/maps/search/38.932594,-120.020781"
https://sfbay.craigslist.org/scz/apa/d/mount-hermon-felton-bed-bath-with-extra/7794172348.html,266 Circle Drive near Park Avenue,"$3,295",/ 2br -,"https://www.google.com/maps/search/37.050448,-122.069703"
https://sfbay.craigslist.org/scz/apa/d/brookdale-great-br-home-in-boulder-creek/7795260122.html,13690 West Park Ave near Hwy 9,"$2,950",/ 2br - 924ft2 -,"https://www.google.com/maps/search/37.127046,-122.127823"
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-large-executive-bedroom/7790772793.html,N/A,"$5,250",/ 4br -,N/A
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-large-br-full-bath-minutes/7795170770.html,N/A,"$4,975",/ 4br - 2322ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/ben-lomond-bedroom-bath-house-ben-lomond/7791758011.html,N/A,"$1,900",/ 1br - 500ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-charming-two-bedroom-house/7787037106.html,N/A,"$3,680",/ 2br - 1150ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-dog-friendly-4br-2ba/7795129545.html,402 Woodland Way near San Jose Ave,"$4,900",/ 4br - 1271ft2 -,"https://www.google.com/maps/search/36.952855,-122.050707"
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-beautiful-home-near-downtown/7793440331.html,"5373 BRANCIFORTE DRIVE, SANTA CRUZ","$6,995",/ 5br - 3400ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/cupertino-luxury-tiny-house-available/7795025276.html,N/A,"$1,850",/ 1br - 300ft2 -,"https://www.google.com/maps/search/37.250462,-122.156811"
https://sfbay.craigslist.org/scz/apa/d/capitola-craftsman-inspired-beautiful/7794985010.html,4190 Pearson Court,$5750.00,/ 3br - 1800ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-cottage-by-the-sea/7794978958.html,N/A,"$3,800",/ 2br - 750ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/aptos-nice-home-quiet-area-great/7794976149.html,N/A,"$3,500",/ 3br - 1300ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/watsonville-utilities-aprox-130-per-mo/7794862930.html,N/A,"$1,600",/ 2br - 280ft2 -,"https://www.google.com/maps/search/36.920776,-121.738129"
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-month-fully-furnished-rental/7794787698.html,N/A,"$7,000",/ 3br - 2400ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/aromas-minutes-from-santa-cruz-beaches/7791302681.html,N/A,"$2,875",/ 2br - 1100ft2 -,"https://www.google.com/maps/search/36.885664,-121.650582"
