price,address,features,is_active,url
"$2,610 - $3,770","101 Felix St, Santa Cruz, CA 95060","Studio - 2bed, 1bath, 625sqft625 square feet, PetsOKpet friendly policy",For Rent - Apartment,
"$3,085 - $6,190","800 Pacific Ave, Santa Cruz, CA 95060","Studio - 2bed, 1 - 2bath, 524 - 1,284sqft524 - 1,284 square feet, DogsOKdog friendly policy",For Rent - Apartment,
"$3,200 - $3,831","555 Pacific Ave, Santa Cruz, CA 95060","Studio - 1bed, 1bath, 440 - 646sqft440 - 646 square feet, PetsOKpet friendly policy",For Rent - Apartment,
"$3,495 - $4,995","222 Columbia St, Santa Cruz, CA 95060","1 - 2bed, 1 - 2bath, 650 - 860sqft650 - 860 square feet, PetsOKpet friendly policy",For Rent - Apartment,
"$2,899 - $2,910","200 Button St, Santa Cruz, CA 95060","1 - 2bed, 1bath, 450sqft450 square feet, PetsOKpet friendly policy",For Rent - Apartment,
"$2,100","Santa Cruz, CA 95060","1bed, 1bath, CatsOKcat friendly policy",For Rent - Condo,
"$3,100 - $6,188","1547 Pacific Ave, Santa Cruz, CA 95060","Studio - 2bed, 1 - 2bath, 421 - 1,208sqft421 - 1,208 square feet, PetsOKpet friendly policy",For Rent - Apartment,
"$4,998","Santa Cruz, CA 95060","3bed, 2bath, 1,600sqft1,600 square feet",For Rent - Apartment,
"$3,291 - $3,973","1240 Shaffer Rd, Santa Cruz, CA 95060","1 - 2bed, 1 - 2bath, 790 - 1,035sqft790 - 1,035 square feet, PetsOKpet friendly policy",For Rent - Apartment,
"$5,500","Santa Cruz, CA 95060","3bed, 3bath, 1,323sqft1,323 square feet",For Rent - House,
"$1,200","Santa Cruz, CA 95060","6bed, 2bath",For Rent - House,
"$3,950","Santa Cruz, CA 95060","3bed, 1bath, 900sqft900 square feet",For Rent - House,
"$3,699","Santa Cruz, CA 95060","2bed, 1bath, 822sqft822 square feet",For Rent - House,
"$4,885","Santa Cruz, CA 95060","3bed, 2bath, PetsOKpet friendly policy",For Rent - House,
"$4,995","Santa Cruz, CA 95060","3bed, 2bath, 1,863sqft1,863 square feet, PetsOKpet friendly policy",For Rent - House,
"$5,149","Santa Cruz, CA 95060","3bed, 2bath, PetsOKpet friendly policy",For Rent - House,
"$5,750","Santa Cruz, CA 95060","3bed, 2bath, 1,655sqft1,655 square feet",For Rent - House,
"$2,400","Santa Cruz, CA 95060","1bed, 1bath, 550sqft550 square feet",For Rent - House,
"$2,700","Santa Cruz, CA 95060","1bed, 1bath, 650sqft650 square feet",For Rent - House,
"$2,510","Santa Cruz, CA 95060","1bed, 1bath, PetsOKpet friendly policy",For Rent - House,
"$3,800","Santa Cruz, CA 95060","3bed, 1bath",For Rent - Townhome,
"$4,440","317 Barson St, Santa Cruz, CA 95060","4bed, 2bath, 975sqft975 square feet",For Rent - Apartment,
"$4,400","413 Laurel St, Santa Cruz, CA 95060","4bed, 2bath, 1,500sqft1,500 square feet",For Rent - Apartment,
"$2,900","Santa Cruz, CA 95060","1bed, 1bath, 700sqft700 square feet",For Rent - House,
"$3,775","Santa Cruz, CA 95060","1bed, 1bath, 848sqft848 square feet",For Rent - House,
"$2,950","816 Riverside Ave, Santa Cruz, CA 95060","2bed, 1bath",For Rent - Apartment,
"$3,200","Santa Cruz, CA 95060","1bed, 1bath, 822sqft822 square feet",For Rent - House,
"$3,750","404 High St, Santa Cruz, CA 95060","2bed, 1bath, 930sqft930 square feet",For Rent - Apartment,
"$2,950","Santa Cruz, CA 95060","2bed, 1bath",For Rent - Condo,
"$2,495","114-116 Maple St, Santa Cruz, CA 95060","1bed, 1bath, CatsOKcat friendly policy",For Rent - Apartment,
"$6,500","Santa Cruz, CA 95060","4bed, 3.5bath, 2,629sqft2,629 square feet",For Rent - House,
"$2,650","Santa Cruz, CA 95060","1bed, 1bath",For Rent - Condo,
"$2,585","Santa Cruz, CA 95060","1bed, 1bath, 600sqft600 square feet, PetsOKpet friendly policy",For Rent - Condo,
"$4,600","Santa Cruz, CA 95060","2bed, 2.5bath, 1,167sqft1,167 square feet",For Rent - House,
"$2,600","Santa Cruz, CA 95060","1bed, 1bath, 733sqft733 square feet",For Rent - Condo,
"$3,500","620.5 Laurel St, Santa Cruz, CA 95060","2bed, 2bath",For Rent - Apartment,
"$2,650","Santa Cruz, CA 95060","1bed, 1bath",For Rent - Condo,
"$3,595","Santa Cruz, CA 95060","2bed, 1.5bath, 828sqft828 square feet, PetsOKpet friendly policy",For Rent - Townhome,
"$3,595","Santa Cruz, CA 95060","2bed, 1.5bath, 1,012sqft1,012 square feet, PetsOKpet friendly policy",For Rent - Townhome,
"$1,895","333 Locust St, Santa Cruz, CA 95060","Studio, 1bath",For Rent - Apartment,
"$1,800","219 Fern St, Santa Cruz, CA 95060","Studio, 1bath",For Rent - Apartment,
"$2,250","Santa Cruz, CA 95060","Studio, 1bath",For Rent - Apartment,
